ticker,issuer_cik,accession_number,filing_date,seller_name,seller_relationship,securities_to_be_sold,aggregate_market_value,approximate_date_of_sale,broker_name,exchange,notice_date,sale_status,parse_status,error_message
UNKNOWN,0001045810,0001921094-24-000980,2024-08-01,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-01,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000975,2024-07-31,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-31,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000969,2024-07-30,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-30,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000963,2024-07-29,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-29,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000958,2024-07-26,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-26,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000957,2024-07-25,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-25,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000953,2024-07-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-24,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000947,2024-07-23,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-23,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000944,2024-07-22,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-22,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000940,2024-07-19,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-19,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000938,2024-07-18,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-18,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000935,2024-07-17,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-17,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000929,2024-07-16,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-16,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000924,2024-07-15,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-15,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000916,2024-07-12,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-12,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000915,2024-07-12,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-12,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000910,2024-07-11,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-11,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000904,2024-07-10,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-10,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000901,2024-07-09,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-09,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000896,2024-07-08,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-08,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000888,2024-07-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-05,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000882,2024-07-03,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-03,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000880,2024-07-02,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-02,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000873,2024-07-01,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-07-01,proposed,partial,
